net_store,city,address,name,regular_price,prom_price,discount,link_to_image
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Домик в деревне Крестьянское 72.5% 180г,"139,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/fbc/fbcc80e8966226b2fefaf71c4246c2ce/107a2a9b27528057a4c6ba544efc4d30.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Резной Палисад 5% 400г,"169,99","139,99",17,https://img-dostavka.magnit.ru/resize/416x416/uf/697/697445912d2dc3d8b8b94c8968009bfa/8d0ef61a3d3a0b8881ecc0d590d7381d.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Биойогурт Актибио питьевой натуральный 1.8% 870г,"139,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/644/644c514b94209ab3ebd31d7c5835f765/3eb32f9abd19b112ceae4a418fe122be.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко сгущенное Главпродукт с миндалём 270г,"139,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/47c/47cf3b5cd245f3ab81fe48f9d6c4f5d0/898325ce0397f66e1f1c0c64c6c3bd0b.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Майонез Скит Провансаль 67% 675мл,"169,99","134,99",20,https://img-dostavka.magnit.ru/resize/416x416/uf/3f6/3f653a1fb623d4d05ea2dda54d983be8/80c34244ef6bd8b941d05ca54322d4c2.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Финское Масло кисло-сливочное Брест-Литовск несолёное 72.5% 160г,"134,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/abc/abcbd1d6a1a98c4719c1f41298c45e29/bd97d14aeaa1948203bfe06a5dc04cb2.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Яйцо куриное Магнит Деревенька Деревенское С0 10шт,"134,89",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/3d0/3d0d08e2c73bc57aa43d3f32aebfcb80/87d5e1e4e14cb0e4c5f6e883ae1e9765.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Яйца Золото Сеймы С1 Сеймовские Деревенские 10шт,"129,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/2c3/2c3c764b14dd145f2a66749bca232292/37e9ccb6ec95ebde49409381a09fcdc8.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Йогурт питьевой Чудо клубника киви 1.9% 680г,"129,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/52a/52a3858dc9de7e6cad40d592afcc1693/91f6d138e41cf0554cd42ead7141467e.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Йогурт питьевой Чудо клубника земляника 1.9% 680г,"129,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/bdf/bdf7e5e5b36d2617c87ef039adfaf58c/4491e750799ef6178a0cd24634e62e82.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Яйцо Окское С0 белые 10шт,"129,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/89b/89bd39b1a612464664f67c7c59524fe7/a8d255ea182f13faca3bc64fe5a8065e.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Йогурт питьевой Чудо персик абрикос 1.9% 680г,"129,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/e49/e49d6952550890507bc8b31f95c2ac82/66cb99dd3c327cb982720d0c41056583.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Яйца перепелиные 20шт,"123,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/093/09326e1fdc05ad3419240b36c94d9a3d/22441973fc8b9a4f677691d71d3488ee.jpeg
